Year,CO2 in Parts Per Million
2013M02,397.03
2013M02,0.76
2013M03,397.66
2013M03,0.78
2013M04,398.64
2013M04,0.57
2013M05,400.02
2013M05,0.78
2013M06,398.81
2013M06,0.73
2013M07,397.51
2013M07,0.75
2013M08,395.39
2013M08,0.71
2013M09,393.72
2013M09,0.61
2013M10,393.9
2013M10,0.67
2013M11,395.36
2013M11,0.55
2013M12,397.03
2013M12,0.62
2014M01,398.04
2014M01,0.57
2014M02,398.27
2014M02,0.31
2014M03,399.91
2014M03,0.57
2014M04,401.51
2014M04,0.72
2014M05,401.96
2014M05,0.48
2014M06,401.43
2014M06,0.66
2014M07,399.27
2014M07,0.44
2014M08,397.18
2014M08,0.45
2014M09,395.54
2014M09,0.46
2014M10,396.16
2014M10,0.57
2014M11,397.4
2014M11,0.52
2014M12,399.08
2014M12,0.52
2015M01,400.18
2015M01,0.54
2015M02,400.55
2015M02,0.57
2015M03,401.74
2015M03,0.46
2015M04,403.34
2015M04,0.46
2015M05,404.15
2015M05,0.54
2015M06,402.97
2015M06,0.38
2015M07,401.46
2015M07,0.55
2015M08,399.11
2015M08,0.49
2015M09,397.82
2015M09,0.58
2015M10,398.49
2015M10,0.59
2015M11,400.27
2015M11,0.72
2015M12,402.06
2015M12,0.75
2016M01,402.73
2016M01,0.64
2016M02,404.25
2016M02,0.92
2016M03,405.06
2016M03,0.83
2016M04,407.6
2016M04,1.06
2016M05,407.9
2016M05,0.93
2016M06,406.99
2016M06,1
2016M07,404.59
2016M07,0.78
2016M08,402.45
2016M08,0.84
2016M09,401.23
2016M09,0.86
2016M10,401.79
2016M10,0.83
2016M11,403.72
2016M11,0.86
2016M12,404.64
2016M12,0.64
2017M01,406.36
2017M01,0.9
2017M02,406.66
2017M02,0.6
2017M03,407.54
2017M03,0.61
2017M04,409.22
2017M04,0.4
2017M05,409.89
2017M05,0.49
2017M06,409.08
2017M06,0.51
2017M07,407.33
2017M07,0.68
2017M08,405.32
2017M08,0.71
2017M09,403.57
2017M09,0.58
2017M10,403.82
2017M10,0.51
2017M11,405.31
2017M11,0.39
2017M12,407
2017M12,0.58
2018M01,408.15
2018M01,0.44
2018M02,408.52
2018M02,0.46
2018M03,409.59
2018M03,0.5
2018M04,410.45
2018M04,0.3
2018M05,411.44
2018M05,0.38
2018M06,410.99
2018M06,0.47
2018M07,408.9
2018M07,0.39
2018M08,407.16
2018M08,0.45
2018M09,405.71
2018M09,0.53
2018M10,406.19
2018M10,0.59
2018M11,408.21
2018M11,0.72
2018M12,409.27
2018M12,0.56
2019M01,411.03
2019M01,0.71
2019M02,411.96
2019M02,0.84
2019M03,412.18
2019M03,0.63
2019M04,413.54
2019M04,0.75
2019M05,414.86
2019M05,0.83
2019M06,414.15
2019M06,0.77
2019M07,411.96
2019M07,0.75
2019M08,410.17
2019M08,0.74
2019M09,408.76
2019M09,0.75
2019M10,408.74
2019M10,0.63
2019M11,410.47
2019M11,0.55
2019M12,411.97
2019M12,0.66
2020M01,413.59
2020M01,0.62
2020M02,414.32
2020M02,0.57
2020M03,414.71
2020M03,0.61
2020M04,416.42
2020M04,0.7
2020M05,417.28
2020M05,0.58
2020M06,416.58
2020M06,0.59
2020M07,414.58
2020M07,0.64
2020M08,412.75
2020M08,0.63
2020M09,411.49
2020M09,0.67
2020M10,411.48
2020M10,0.67
2020M11,413.1
2020M11,0.64
2020M12,414.23
2020M12,0.55
2021M01,415.49
2021M01,0.46
2021M02,416.72
2021M02,0.58
2021M03,417.61
2021M03,0.7
2021M04,419.01
2021M04,0.62
2021M05,419.09
2021M05,0.43
2021M06,418.92
2021M06,0.56
2021M07,416.9
2021M07,0.56
2021M08,414.42
2021M08,0.4
2021M09,413.26
2021M09,0.43
2021M10,413.9
2021M10,0.59
2021M11,414.97
2021M11,0.45
2021M12,416.67
2021M12,0.59
2022M01,418.13
2022M01,0.64
2022M02,419.24
2022M02,0.6
2022M03,418.76
2022M03,0.28
2022M04,420.19
2022M04,0.28
2022M05,420.97
2022M05,0.45
2022M06,420.94
2022M06,0.48
2022M07,418.85
2022M07,0.47
2022M08,417.15
2022M08,0.66
2022M09,415.91
2022M09,0.64
2022M10,415.74
2022M10,0.44
2022M11,417.47
2022M11,0.6
2022M12,418.99
2022M12,0.56
2023M01,419.48
2023M01,0.32
2023M02,420.3
2023M02,0.25
2023M03,420.98
2023M03,0.53
2023M04,423.35
2023M04,0.75
2023M05,424
2023M05,0.72
2023M06,423.68
2023M06,0.65
2023M07,421.83
2023M07,0.71
2023M08,419.68
